id,date,time_Asia_Baghdad,cycle,pillar,format,Arabic_title,reader_payoff,status
S01,2026-09-11,09:15,1,AI services,carousel,أي عمل يستحق أول تجربة AI؟,بطاقة اختيار بين ثلاث مهام، مع سبب بدء تجربة واحدة وتأجيل الأخريين.,Editorial draft; not scheduled
B01,2026-09-11,14:30,1,Bunyan Pro,carousel,أي موقع يحتاجك اليوم؟,قالب تحديث يساعدك على تحديد الموقع الذي يحتاج تدخلك، مع إبقاء المعاينة الفنية للمهندس.,Editorial draft; not scheduled
U01,2026-09-12,20:45,1,Practical AI,reel,فهمت الشرح؟ جرّب سؤالًا مختلفًا.,جلسة تعلّم تتوقف عند الخطأ، ثم تختبر نقل الفكرة إلى مثال جديد.,Editorial draft; not scheduled
S02,2026-09-13,14:40,2,AI services,reel,العرض المترجم ليس عرضًا واضحًا,قالب استخراج شروط العرض ورسالة استيضاح ثنائية اللغة.,Editorial draft; not scheduled
B02,2026-09-13,20:55,2,Bunyan Pro,carousel,«تعديل بسيط»… على أي حساب؟,ورقة تغيير قصيرة تفصل الطلب والتقدير والقرار، وتكشف أثر الوقت الذي قد يضيع خلف فرق السعر.,Editorial draft; not scheduled
U02,2026-09-14,09:25,2,Practical AI,carousel,الخلفية تغيّرت. والعنوان أيضًا؟,قائمة ثوابت واختبار مقارنة لتعديل صورة دون فقدان موضوعها أو كتابتها.,Editorial draft; not scheduled
B03,2026-09-15,09:05,3,Bunyan Pro,reel,طلب الدفعة يبدأ قبل التذكير,نموذج طلب دفعة قابل للمراجعة يفرّق بين أساس الطلب والمبلغ والتوثيق والتحصيل.,Editorial draft; not scheduled
S03,2026-09-15,20:35,3,AI services,carousel,ليس كل استفسار يحتاج الرد نفسه,خريطة ثلاث مسارات قابلة لتطبيق يدوي قبل الأتمتة.,Editorial draft; not scheduled
U03,2026-09-16,14:20,3,Practical AI,carousel,مصدران اختلفا؟ لا تطلب ملخّصًا يطمس الفرق.,جدول يربط كل ادعاء بمصدره وفترته وما لا يستطيع إثباته.,Editorial draft; not scheduled
S04,2026-09-17,14:30,4,AI services,carousel,الموظف الجديد يحتاج جوابًا يعرف مصدره,بطاقة معرفة واحدة واختبار سؤال مع مرجع قابل للفتح.,Editorial draft; not scheduled
B04,2026-09-17,20:45,4,Bunyan Pro,carousel,رصيد المشروع لا يخبرك بما تبقّى,مراجعة أسبوعية مبسطة تفصل الرصيد المسجل والالتزامات القادمة والتحصيل غير المؤكد.,Editorial draft; not scheduled
U04,2026-09-18,09:15,4,Practical AI,reel,وجد وقتًا مناسبًا؟ هذا لا يعني أنه حجزه.,طلب شخصي يختار جلسة دراسة دون تحريك المواعيد أو إرسال دعوات بالخطأ.,Editorial draft; not scheduled
B05,2026-09-19,09:25,5,Bunyan Pro,carousel,أي نسخة وصلت إلى الموقع؟,قاعدة تسمية وتسليم بسيطة تقلل غموض النسخة دون الادعاء بمنع كل أخطاء التنفيذ.,Editorial draft; not scheduled
S05,2026-09-19,20:55,5,AI services,reel,الفاتورة المصوّرة تحتاج مسارًا بعد القراءة,مخطط استخراج فاتورة وقاعدة تمنع خلط العملة أو تكرار المستند.,Editorial draft; not scheduled
U05,2026-09-20,14:40,5,Practical AI,carousel,تكرر تعليمات الكتابة؟ حوّلها إلى طريقة عمل.,مواصفة مهارة تحرير عربية صغيرة مع اختبار يمنع إضافة الوعود من عند المساعد.,Editorial draft; not scheduled
S06,2026-09-21,09:05,6,AI services,carousel,جهّز متابعة المستحقات من سجل اليوم,قالب بطاقة متابعة يفرق بين مبلغ مستحق ووعد دفع واعتراض قائم.,Editorial draft; not scheduled
